QueryType,QueryValue,ActivityType,JobPostUrl,CompanyName,CompanyWebsite,JobTitle,JobLocation,PostedOn,NumberOfApplicants,Industry,EmploymentType,SeniorityLevel,JobFunction,JobPosterProfileUrl,JobPosterFirstName,JobPosterLastName,DegreeOfConnection,ScrapedDate

Search Url,https://www.linkedin.com/jobs/search/?geoId=90009899&location=Santiago%20Metropolitan%20Area,JobScraper,https://www.linkedin.com/jobs/view/2183695132,Maihue Agua Premium,http://www.maihuechile.cl/,Ejecutivo Instalador y mantenimiento,Las Condes Región Metropolitana de Santiago Chile,10/01/2020 10:54:47,13,Food & Beverages. Renewables & Environment,Full-time,Entry level,Information Technology,https://www.linkedin.com/in/ACoAAAGuyrsBrTNAM8Nmn652YbW8JpWc8_4qM9I,Claudio,Brinkmann,DISTANCE_3,10/4/2020 3:30:43 PM
Search Url,https://www.linkedin.com/jobs/search/?geoId=90009899&location=Santiago%20Metropolitan%20Area,JobScraper,https://www.linkedin.com/jobs/view/2170047892,KDU Ingeniería,http://www.kdu.cl,Líder Técnico Backend,Santiago Región Metropolitana de Santiago Chile,09/21/2020 18:07:18,35,Information Technology & Services,Full-time,Mid-Senior level,Engineering. Information Technology,https://www.linkedin.com/in/ACoAACYcrTgB2f6DkXzVP4Hf03M0ARTzzF5--LI,Valentina,Umanzor Narda,DISTANCE_3,10/4/2020 3:31:33 PM
Search Url,https://www.linkedin.com/jobs/search/?geoId=90009899&location=Santiago%20Metropolitan%20Area,JobScraper,https://www.linkedin.com/jobs/view/2174755374,SONDA,http://www.sonda.com,Operador Data Center,Santiago Región Metropolitana de Santiago Chile,09/25/2020 15:51:43,95,Information Technology & Services,Full-time,Mid-Senior level,Information Technology,N/A,N/A,N/A,N/A,10/4/2020 3:32:32 PM
Search Url,https://www.linkedin.com/jobs/search/?geoId=90009899&location=Santiago%20Metropolitan%20Area,JobScraper,https://www.linkedin.com/jobs/view/2178086477,SGS Chile Ltda,N/A,Auxiliar de Laboratorio (Pudahuel),Pudahuel CL,09/27/2020 17:07:20,8,Food & Beverages. Staffing & Recruiting. Human Resources,Full-time,Entry level,Research. Analyst. Information Technology,N/A,N/A,N/A,N/A,10/4/2020 3:33:28 PM
Search Url,https://www.linkedin.com/jobs/search/?geoId=90009899&location=Santiago%20Metropolitan%20Area,JobScraper,https://www.linkedin.com/jobs/view/2165282835,Seek and Match Head Hunter,http://www.seekandmatch.com,Programa Trainee Pepsico,Santiago CL,09/14/2020 21:00:00,173,Marketing & Advertising. Food & Beverages. Staffing & Recruiting,Full-time,Internship,Other,N/A,N/A,N/A,N/A,10/4/2020 3:34:05 PM
Search Url,https://www.linkedin.com/jobs/search/?geoId=90009899&location=Santiago%20Metropolitan%20Area,JobScraper,https://www.linkedin.com/jobs/view/2180117312,InovaBiz,http://www.inovabiz.com,Desarrolladores JAVA,Providencia Región Metropolitana de Santiago Chile,09/29/2020 12:24:53,14,Computer Software,Full-time,Entry level,Engineering. Information Technology,https://www.linkedin.com/in/ACoAACIYFIIBR7onnMGzIhgPyrK16uKgj4zToKE,Julia,Meza ,DISTANCE_3,10/4/2020 3:34:40 PM
Search Url,https://www.linkedin.com/jobs/search/?geoId=90009899&location=Santiago%20Metropolitan%20Area,JobScraper,https://www.linkedin.com/jobs/view/2180558902,NuNoa,http://www.nunoa.nl,Conductor Clase A,Santiago CL,09/25/2020 21:00:00,1,Human Resources. Medical Practice. Hospital & Health Care,Full-time,Entry level,Management. Manufacturing,N/A,N/A,N/A,N/A,10/4/2020 3:35:18 PM
Search Url,https://www.linkedin.com/jobs/search/?geoId=90009899&location=Santiago%20Metropolitan%20Area,JobScraper,https://www.linkedin.com/jobs/view/2180045632,Collins Aerospace,https://www.collinsaerospace.com,Field Technician,Pudahuel Región Metropolitana de Santiago Chile,09/29/2020 16:44:47,45,Aviation & Aerospace,Full-time,Not Applicable,Information Technology,https://www.linkedin.com/in/ACoAACV3Vu0B_SJ_3aIqFZT6goLIDVC4iFOy7NM,Tannia,Pacheco ,OUT_OF_NETWORK,10/4/2020 3:35:55 PM
Search Url,https://www.linkedin.com/jobs/search/?geoId=90009899&location=Santiago%20Metropolitan%20Area,JobScraper,https://www.linkedin.com/jobs/view/2180564412,Capital Pessoal,http://www.capitalpessoal.com.br,Trabajo Administrativo Turnos Dia Y Noche - Peñalolen,Santiago CL,09/27/2020 21:00:00,0,Computer Software. Staffing & Recruiting. Leisure Travel & Tourism,Full-time,Entry level,Administrative,N/A,N/A,N/A,N/A,10/4/2020 3:36:28 PM
Search Url,https://www.linkedin.com/jobs/search/?geoId=90009899&location=Santiago%20Metropolitan%20Area,JobScraper,https://www.linkedin.com/jobs/view/2183862823,ATCOM Chile,https://www.atcom.cl/,Ethical Hacker - Santiago,Santiago Región Metropolitana de Santiago Chile,10/01/2020 13:16:24,8,Outsourcing/Offshoring,Full-time,Mid-Senior level,Information Technology,https://www.linkedin.com/in/ACoAABs-U4UBtOo5aEQ-03_p-r1XtPWz74-2r3s,Kevin,Lück H.,DISTANCE_2,10/4/2020 4:00:33 PM
Search Url,https://www.linkedin.com/jobs/search/?geoId=90009899&location=Santiago%20Metropolitan%20Area,JobScraper,https://www.linkedin.com/jobs/view/2182216818,CEI ,http://www.ceinegocios.cl,Desarrollador software Junior,Santiago Región Metropolitana de Santiago Chile,09/30/2020 12:36:50,32,Marketing & Advertising. Information Technology & Services,Full-time,Entry level,Engineering. Information Technology,https://www.linkedin.com/in/ACoAAARhl7ABxBGeCu-ULRs1B_rlWCAmtGPfH1o,Hector,Rubilar,DISTANCE_3,10/4/2020 4:01:25 PM
Search Url,https://www.linkedin.com/jobs/search/?geoId=90009899&location=Santiago%20Metropolitan%20Area,JobScraper,https://www.linkedin.com/jobs/view/2178045170,Clínica INDISA,http://www.indisa.cl,Auxiliar Técnico de Laboratorio y Banco de Sangre Part Time,Santiago CL,09/02/2020 15:41:09,5,Human Resources. Health Wellness & Fitness. Hospital & Health Care,Part-time,Entry level,Research. Analyst. Information Technology,N/A,N/A,N/A,N/A,10/4/2020 4:02:05 PM
Search Url,https://www.linkedin.com/jobs/search/?geoId=90009899&location=Santiago%20Metropolitan%20Area,JobScraper,https://www.linkedin.com/jobs/view/2184139946,Falabella,https://investors.falabella.com,Developers,Santiago Región Metropolitana de Santiago Chile,10/01/2020 16:35:09,36,Consumer Services,Full-time,Associate,Information Technology,N/A,N/A,N/A,N/A,10/4/2020 4:02:53 PM
